company_prefix;company_name;item_reference;item_name
3319361;Sanford LLC;407205;Beans - Kidney, Red Dry
6314853123;Gleichner, Rodriguez and Wilkinson;877;Scallops - In Shell
39266333;Mertz, O'Conner and Heaney;21526;Fruit Mix - Light
213645;McGlynn Inc;6152432;Pickles - Gherkins
178504;Thompson LLC;2577266;Straws - Cocktale
964495;Halvorson and Sons;3508204;Cotton Wet Mop 16 Oz
585675;Torphy-Becker;4259784;Wine - Merlot Vina Carmen
9488123;Kunze, Wilkinson and Sawayn;147805;Bread - Multigrain, Loaf
086906;Blanda-Hagenes;1437603;Pasta - Penne, Rigate, Dry
2973701;Bednar-Mitchell;682407;Bols Melon Liqueur
7942595;Hilpert Group;565126;Pate - Cognac
587451;Lindgren, Witting and Wiegand;1074506;Pork - Loin, Center Cut
40777411;Larson, Reilly and Cruickshank;36953;Tea - Green
227113;Walsh-Schamberger;5935575;Wine - Chateau Bonnet
3733204;Orn-Langosh;647520;Extract - Lemon
885734;Deckow LLC;8756756;Muffins - Assorted
2871566;Lueilwitz, Schumm and Walsh;145216;Beef - Bresaola
584202;Bailey LLC;2876851;Sugar - Brown, Individual
5032891234;Sawayn-Gibson;138;Pepper - Red Chili
1999335;Gibson-Cormier;642804;Compound - Raspberry
83250532;Fisher Inc;52838;Chicken - Whole
516232;Leffler-Torphy;7222702;Juice - Apple, 341 Ml
043907;Nolan-Walter;3406731;Beans - Kidney White
4584903;Heller, Koepp and Powlowski;679405;Beer - Camerons Cream Ale
983682;Dickens and Sons;4365465;Mousse - Mango
686748;Steuber-Stracke;9119606;Cheese - Grie Des Champ
678362;Lynch, Yundt and Howe;4156060;Plastic Arrow Stir Stick
591271;Lakin, Prosacco and Terry;5771945;Chicken Giblets
069124;Mondelēz International;1253252;Milka Oreo
0107222;Armstrong-Schinner;797011;Honey - Comb
140037;Torp-Reynolds;9818542;Beef - Shank
750917;Becker, Schaefer and Greenholt;7528000;Walkers Special Old Whiskey
317580317580;Medhurst-Romaguera;7;Pork - Ground
390007;Carter-Reynolds;9160738;Cornflakes
528209;Morissette LLC;7791950;Shallots
2180435;Gottlieb, Stroman and Grimes;909583;Wine - Magnotta - Cab Franc
823332;Durgan, Hahn and Runolfsdottir;6492584;Carrots - Purple, Organic
511751;Spencer, Block and Marks;6644044;Jam - Blackberry, 20 Ml Jar
543540;Kozey Group;3141656;Wine - Clavet Saint Emilion
826025;Little Group;1130405;Salt - Sea
110720;O'Hara LLC;5041310;V8 Pet
33314622;Weissnat and Sons;53619;Mustard Prepared
764493764493;Okuneva, Schneider and Collins;4;Pumpkin
428651;Cole LLC;7619450;Creme De Cacao Mcguines
950316;Keeling, Nikolaus and Larkin;2380884;Berry Brulee
870953;Dach-Herzog;8728496;Lychee - Canned
8393604321;Wolf Inc;179;Veal - Eye Of Round
719065;Legros-Cruickshank;9765179;Salami - Genova
758601;Schmeler-Lind;2337085;Muffin Mix - Corn Harvest
368305;Macejkovic-Murazik;2620417;Chocolate Eclairs
791586;Raynor LLC;5775051;Gooseberry
28600054;Mosciski, Maggio and DuBuque;41912;Scallops - U - 10
608240;Von, Gusikowski and Farrell;2412148;Beef - Top Butt Aaa
060643;Beer, Batz and Koch;9948173;Chicken Breast Wing On
127083;Watsica-Labadie;5256251;Crush - Grape, 355 Ml
178540;Tromp-Pacocha;3505943;Cheese - Ricotta
